"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"supportcase19","hard","1429098","1311292","117806","0","10713","4287094","Michael Winkler","--","12677205.99992052","benchmark benchmark_suitable variable_bound set_partitioning set_covering general_linear"
"supportcase12","easy","799616","0","200","799416","166781","2334437","Michael Winkler","--","-7559.533053817","benchmark benchmark_suitable aggregations variable_bound integer_knapsack mixed_binary general_linear"
"neos-5114902-kasavu","hard","710164","14560","0","695604","961170","4240376","Jeff Linderoth","neos-pseudoapplication-104","655","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-848589","easy","550539","747","0","549792","1484","1101078","NEOS Server Submission","neos-pseudoapplication-77","2351.40309999697","benchmark benchmark_suitable cardinality mixed_binary"
"s100","hard","364417","364417","0","0","14733","1777917","Daniel Espinoza","Spinoza","-0.1697235270583","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack"
"neos-5104907-jarama","hard","345856","9520","0","336336","489818","2053548","Jeff Linderoth","neos-pseudoapplication-24","935","benchmark benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"savsched1","easy","328575","252731","0","75844","295989","1770507","Gerardo Gonzalez","--","3217.7","benchmark benchmark_suitable aggregations variable_bound set_packing invariant_knapsack mixed_binary"
"highschool1-aigio","hard","320404","319686","718","0","92568","1562168","George Fonseca","timetabling","0","benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack general_linear"
"s250r10","easy","273142","273139","0","3","10962","1318607","Daniel Espinoza","Spinoza","-0.1717804834232","benchmark benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"rail02","easy","270869","270869","0","0","95791","756228","Thomas Schlechte","rail0","-200.4499077","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality"
"neos-5049753-cuanza","easy","242736","8304","0","234432","322248","1440672","Jeff Linderoth","neos-pseudoapplication-85","561.9999971689","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-787933","easy","236376","236376","0","0","1897","298320","NEOS Server Submission","neos-pseudoapplication-36","30","benchmark binary decomposition benchmark_suitable binpacking mixed_binary"
"snp-02-004-104","easy","228350","167","167","228016","126512","463941","Gerald Gamrath","supplynetworkplanning","586803238.6567289","benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear"
"gfd-schedulen180f7d50m30k18","hard","227535","192408","2025","33102","457985","1233372","Gleb Belov","gfd-schedule","1","benchmark feasibility benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"neos-4413714-turia","easy","190402","190201","0","201","2303","761756","Jeff Linderoth","neos-pseudoapplication-67","45.3701670199998","benchmark benchmark_suitable set_partitioning binpacking mixed_binary"
"neos-873061","easy","175288","87644","0","87644","93360","350576","NEOS Server Submission","neos-pseudoapplication-61","113.6562385063","benchmark decomposition benchmark_suitable precedence variable_bound mixed_binary"
"radiationm40-10-02","hard","172013","62400","47213","62400","173603","406825","Gleb Belov","radiation","155328","benchmark decomposition benchmark_suitable aggregations precedence variable_bound integer_knapsack mixed_binary general_linear"
"neos-631710","easy","167056","167056","0","0","169576","834166","NEOS Server Submission","neos-pseudoapplication-75","203","benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking"
"map10","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-495","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"map16715-04","easy","164547","146","0","164401","328818","549920","Kiyan Ahmadizadeh","map","-111","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"proteindesign121hz512p9","hard","159145","159054","91","0","301","629449","Gleb Belov","proteindesign","1473","benchmark benchmark_suitable set_partitioning general_linear"
"buildingenergy","easy","154978","0","26287","128691","277594","788969","Kristopher A. Pruitt","--","33283.853236","benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"bab2","hard","147912","147912","0","0","17245","2027726","Elmar Swarat","bab","-357544.3115","benchmark binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"supportcase7","easy","138844","451","14","138379","6532","2845545","Michael Winkler","--","-1132.223177","benchmark benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"supportcase6","easy","130052","130051","1","0","771","584976","Michael Winkler","--","51906.47737","benchmark benchmark_suitable set_partitioning cardinality general_linear"
"netdiversion","easy","129180","129180","0","0","119589","615282","Chris Cullenbine","--","242","benchmark binary benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack"
"proteindesign122trx11p8","easy","127326","127248","78","0","254","503427","Gleb Belov","proteindesign","1747","benchmark benchmark_suitable set_partitioning general_linear"
"neos-2075418-temuka","easy","122304","122304","0","0","349602","7610261","Hans Mittelmann","neos-pseudoapplication-62","Infeasible","benchmark infeasible binary benchmark_suitable precedence variable_bound set_covering invariant_knapsack knapsack"
"rail01","easy","117527","117527","0","0","46843","392086","Thomas Schlechte","rail0","-70.5699643","benchmark binary benchmark_suitable aggregations variable_bound set_partitioning set_packing cardinality knapsack"
"bab6","hard","114240","114240","0","0","29904","1283181","Elmar Swarat","bab","-284248.2307000001","benchmark binary benchmark_suitable aggregations precedence set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"physiciansched6-2","easy","111827","109346","0","2481","168336","480259","Pelin Damci-Kurt","physiciansched","49324","benchmark decomposition benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary"
"thor50dday","hard","106261","53131","0","53130","53360","212060","Daniel Rehfeldt","--","40417","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"roi5alpha10n8","hard","106150","105950","0","200","4665","2370224","Domenico Salvagnin","--","-52.322274351","benchmark decomposition benchmark_suitable variable_bound cardinality binpacking mixed_binary"
"square47","easy","95030","94987","43","0","61591","27329856","Sascha Kurz","square","15.9999999997877","benchmark benchmark_suitable set_partitioning general_linear"
"nw04","easy","87482","87482","0","0","36","636666","MIPLIB submission pool","--","16862","benchmark binary benchmark_suitable set_partitioning"
